

U+2EED	⻭	212143123452

U+2EF3	⻳	3525115

U+2EE6	⻦	35451

U+2E92	⺒	515

U+2EDE	⻞	34(1|4)511(54|211)


U+2EA9	⺩	1121

U+2E8D	⺍	443

U+2EBA	⺺	5112

U+2EDA	⻚	12534

U+2E83	⺃	5

U+2EE9	⻩	12212512134

U+2E88	⺈	35

U+2EC9	⻉	2534

U+2EAD	⺭	4524

U+2EC8	⻈	45

U+2E89	⺉	22

U+2EE3	⻣	25(5|12|21)45(2511|3511|3541)

U+2EA8	⺨	(353|533)

U+2EBE	⺾	122

U+2ED2	⻒	(12|21)11154

U+2ECD	⻍	4454

U+2ED7	⻗	1(25|45)2(1111|4134|4444)

U+2EB7	⺷	341121

U+2E9E	⺞	21354

U+2E87	⺇	35

U+2EF2	⻲	35251125115

U+2E96	⺖	(244|424|442)

U+2EC3	⻃	12522

U+2EA3	⺣	4444

U+2EE8	⻨	1121354

U+2EB2	⺲	25221

U+2ED9	⻙	1152

U+2ED0	⻐	31115

U+2EB0	⺰	551

U+2EEC	⻬	413432

U+2E84	⺄	5

U+2ECC	⻌	454

U+2ECE	⻎	4554

U+2EAC	⺬	11234

U+2EB9	⺹	1213

U+2EF0	⻰	13534

U+2E99	⺙	3134

U+2E93	⺓	554

U+2EBD	⺽	321511

U+2EE4	⻤	3251(|2)13554

U+2E97	⺗	2344

U+2E8C	⺌	243

U+2EE5	⻥	35251211

U+2E9D	⺝	3511

U+2EDD	⻝	34(1|4)511534

U+2EC4	⻄	125351

U+2ED3	⻓	3154

U+2EA4	⺤	3443

U+2EB3	⺳	31234312

U+2E90	⺐	135

U+2ECF	⻏	(52|552)

U+2EA0	⺠	51515

U+2EEB	⻫	4134(3112|3211)

U+2E81	⺁	13

U+2EA5	⺥	(3344|3443)

U+2EAF	⺯	(554234|554444)

U+2E8F	⺏	3435

U+2EC5	⻅	2535

U+2EDC	⻜	534

U+2E94	⺔	551

U+2EC0	⻀	(122|1212|2112)

U+2E9C	⺜	2511

U+2ECB	⻋	1512

U+2EEF	⻯	4143125115

U+2EAB	⺫	25221

U+2EBC	⺼	(3511|3544)

U+2EE0	⻠	355

U+2EA1	⺡	441

U+2E85	⺅	32

U+2EB4	⺴	4535

U+2ED4	⻔	(245|425)

U+2EC6	⻆	3535(112|121)

U+2E8B	⺋	55

U+2EE1	⻡	5551325111

U+2EC1	⻁	21531535

U+2EBF	⺿	(122|1212|2112)

U+2EEE	⻮	21213452

U+2EB5	⺵	2522

U+2E82	⺂	5

U+2E9B	⺛	1535

U+2E91	⺑	3435

U+2ECA	⻊	2512121

U+2EDB	⻛	3534

U+2EA6	⺦	(241|412)

U+2EBB	⺻	511112

U+F995	黾	25125115

U+2E8E	⺎	135

U+2EDF	⻟	34(1|4)(51154|511211)

U+2EAA	⺪	52121

U+2E80	⺀	(4|44)

U+2EB8	⺸	(122|1212|2112)112

U+2E98	⺘	121

U+2EC7	⻇	35253434

U+2E8A	⺊	(21|24)

U+2EA7	⺧	3121

U+2EC2	⻂	45234

U+2EE2	⻢	551

U+2EB1	⺱	2534

U+2EB6	⺶	34111(2|3)

U+2E9F	⺟	55(414|441)

U+2E86	⺆	25

U+2EE7	⻧	2125341

U+2E95	⺕	511

U+2ED6	⻖	(52|552)

U+2ED8	⻘	1121(2|3)511

U+2EF1	⻱	(3|35)2511(25|52)(55151134|5115115341)

U+2ED1	⻑	(12|21)111534

