⼀	⼁	⼂	⼃	⼄	⼅	⼆	⼇	⼈	⼉	⼊	⼋	⼌	⼍	⼎	⼏
⼐	⼑	⼒	⼓	⼔	⼕	⼖	⼗	⼘	⼙	⼚	⼛	⼜	⼝	⼞	⼟
⼠	⼡	⼢	⼣	⼤	⼥	⼦	⼧	⼨	⼩	⼪	⼫	⼬	⼭	⼮	⼯
⼰	⼱	⼲	⼳	⼴	⼵	⼶	⼷	⼸	⼹	⼺	⼻	⼼	⼽	⼾	⼿
⽀	⽁	⽂	⽃	⽄	⽅	⽆	⽇	⽈	⽉	⽊	⽋	⽌	⽍	⽎	⽏
⽐	⽑	⽒	⽓	⽔	⽕	⽖	⽗	⽘	⽙	⽚	⽛	⽜	⽝	⽞	⽟
⽠	⽡	⽢	⽣	⽤	⽥	⽦	⽧	⽨	⽩	⽪	⽫	⽬	⽭	⽮	⽯
⽰	⽱	⽲	⽳	⽴	⽵	⽶	⽷	⽸	⽹	⽺	⽻	⽼	⽽	⽾	⽿
⾀	⾁	⾂	⾃	⾄	⾅	⾆	⾇	⾈	⾉	⾊	⾋	⾌	⾍	⾎	⾏
⾐	⾑	⾒	⾓	⾔	⾕	⾖	⾗	⾘	⾙	⾚	⾛	⾜	⾝	⾞	⾟
⾠	⾡	⾢	⾣	⾤	⾥	⾦	⾧	⾨	⾩	⾪	⾫	⾬	⾭	⾮	⾯
⾰	⾱	⾲	⾳	⾴	⾵	⾶	⾷	⾸	⾹	⾺	⾻	⾼	⾽	⾾	⾿
⿀	⿁	⿂	⿃	⿄	⿅	⿆	⿇	⿈	⿉	⿊	⿋	⿌	⿍	⿎	⿏
⿐	⿑	⿒	⿓	⿔	⿕
⺀	⺁	⺂	⺃	⺄	⺅	⺆	⺇	⺈	⺉	⺊	⺋	⺌	⺍	⺎	⺏
⺐	⺑	⺒	⺓	⺔	⺕	⺖	⺗	⺘	⺙		⺛	⺜	⺝	⺞	⺟
⺠	⺡	⺢	⺣	⺤	⺥	⺦	⺧	⺨	⺩	⺪	⺫	⺬	⺭	⺮	⺯
⺰	⺱	⺲	⺳	⺴	⺵	⺶	⺷	⺸	⺹	⺺	⺻	⺼	⺽	⺾	⺿
⻀	⻁	⻂	⻃	⻄	⻅	⻆	⻇	⻈	⻉	⻊	⻋	⻌	⻍	⻎	⻏
⻐	⻑	⻒	⻓	⻔	⻕	⻖	⻗	⻘	⻙	⻚	⻛	⻜	⻝	⻞	⻟
⻠	⻡	⻢	⻣	⻤	⻥	⻦	⻧	⻨	⻩	⻪	⻫	⻬	⻭	⻮	⻯
⻰	⻱	⻲	⻳
